case_id,reason_code,product_category,payment_method,order_value,time_to_dispute_days,days_remaining_to_respond,delivery_confirmed,communication_logs_present,device_ip_match_score,listing_accuracy_score,customer_prior_disputes,customer_account_age_days,_true_win_prob_debug_only,merchant_won
90b53ba6-0656-4acd-9f0d-ddf9472e60ea,not_as_described,groceries,netbanking,2093.32,1,10,not_shipped,False,0.62,0.536,0,41,0.247,False
97f75f3a-0204-4401-9077-6d47ffadaa65,not_as_described,electronics,card,2698.06,13,16,in_transit,True,0.521,0.425,0,133,0.3349,False
b56931ac-6222-4be0-9cec-d202f72f785b,item_not_received,electronics,upi,1463.87,12,18,in_transit,True,0.499,0.515,1,164,0.2949,True
2f6cc00b-2c4a-4962-a24c-87c7806a7db6,not_as_described,groceries,upi,664.21,22,10,delivered_no_signature,False,0.719,0.8,0,1026,0.7064,True
144bead8-545f-4fed-8716-f196d772ad68,duplicate_charge,beauty,card,1354.38,2,14,signed_confirmation,True,0.327,0.568,0,217,0.4357,True
aceb09d2-67be-4c94-a669-c271859ffad4,fraud_card_not_present,digital_goods,wallet,397.45,21,21,not_shipped,False,0.665,0.884,1,278,0.3453,False
d1888c36-f257-42db-987f-14d2f278ba14,item_not_received,apparel,upi,723.85,2,14,signed_confirmation,True,0.654,0.612,0,661,0.8508,False
b0aee55c-2b47-4e1c-b662-5e25cd11ea69,item_not_received,digital_goods,card,5415.7,3,17,not_shipped,False,0.156,0.341,0,1366,0.0202,False
7dc69a9d-c197-443f-a33e-d412f56afc5d,item_not_received,apparel,upi,1009.54,2,14,not_shipped,True,0.102,0.574,0,227,0.0685,False
f96a7cb7-5075-41e7-9fb5-f589deea7983,fraud_card_not_present,apparel,wallet,1048.72,15,10,in_transit,False,0.512,0.52,1,61,0.7144,True
0cf12727-496a-4650-94d2-0c98861800d8,fraud_card_not_present,digital_goods,netbanking,3180.66,3,13,in_transit,False,0.437,0.942,1,121,0.2658,False
8655d764-1060-47a5-b420-897dad282245,not_as_described,home_goods,card,1393.62,11,3,signed_confirmation,False,0.625,0.549,0,289,0.9085,True
43e4bda7-2f1a-4102-9e34-daea27286b3f,subscription_not_cancelled,home_goods,upi,527.61,1,17,signed_confirmation,False,0.395,0.346,1,125,0.1959,False
f05d4b94-e82f-4343-9cab-74698edcb762,duplicate_charge,beauty,card,644.57,1,3,in_transit,True,0.374,0.64,0,93,0.8329,True
885c4c16-26e7-4333-aa6c-54e4dcad6443,item_not_received,home_goods,upi,897.92,6,7,signed_confirmation,True,0.649,0.442,1,1076,0.5585,False
1c450061-3c4b-4665-b074-3fbc9644023f,subscription_not_cancelled,apparel,netbanking,1138.36,18,21,in_transit,True,0.237,0.525,0,174,0.9123,True
0c293685-e4cf-4772-94f2-753d22c30494,item_not_received,home_goods,card,348.07,4,7,not_shipped,False,0.687,0.724,0,526,0.0307,False
66723a37-06b2-470a-9d1a-d68074794d47,duplicate_charge,beauty,upi,1764.78,25,3,signed_confirmation,False,0.594,0.852,1,2148,0.419,False
b479e981-3421-4569-9e9e-3b33983069ec,item_not_received,digital_goods,upi,957.98,23,10,delivered_no_signature,False,0.746,0.762,0,384,0.6358,True
10a4d423-2427-47b5-90a9-05e83e286623,item_not_received,groceries,card,1267.82,32,7,signed_confirmation,True,0.844,0.516,1,438,0.8009,True
